knob	arm	value	seed	horizon	players	expansion	growth	production	warfare	politics
crowding_beta	hi	0.5500000000	7	1500	3	2524125.0000	934895.0000	1321512.5000	-0.0000	2524125.0000
crowding_beta	lo	0.4500000000	7	1500	3	2509275.0000	913212.5000	1332252.0000	-0.0000	2509275.0000
crowding_beta	hi	0.5500000000	42	1500	3	2546800.0000	1206622.5000	1404294.0000	0.0000	2546800.0000
crowding_beta	lo	0.4500000000	42	1500	3	2564825.0000	1139162.5000	1418694.0000	0.0000	2564825.0000
crowding_beta	hi	0.5500000000	31337	1500	3	2676975.0000	1147622.5000	1344668.0000	0.0000	2676975.0000
crowding_beta	lo	0.4500000000	31337	1500	3	2625650.0000	1008275.0000	1360414.0000	0.0000	2625650.0000
density_floor	hi	0.0110000000	1	1500	3	2501450.0000	1177540.0000	1381280.5000	0.0000	2501450.0000
density_floor	lo	0.0090000000	1	1500	3	2501150.0000	1139560.0000	1384654.0000	0.0000	2501150.0000
density_floor	hi	0.0110000000	7	1500	3	2628775.0000	955032.5000	1393782.5000	-0.0000	2628775.0000
density_floor	lo	0.0090000000	7	1500	3	2628825.0000	920660.0000	1388334.0000	-0.0000	2628825.0000
density_floor	hi	0.0110000000	42	1500	3	2576375.0000	1280852.5000	1399247.0000	0.0000	2576375.0000
density_floor	lo	0.0090000000	42	1500	3	2576750.0000	1267082.5000	1404014.0000	0.0000	2576750.0000
density_floor	hi	0.0110000000	31337	1500	3	2665950.0000	1084655.0000	1337432.0000	0.0000	2665950.0000
density_floor	lo	0.0090000000	31337	1500	3	2665350.0000	1081250.0000	1343967.0000	0.0000	2665350.0000
fab_cap	hi	0.1100000000	1	1500	3	2562800.0000	1072997.5000	1346759.5000	0.0000	2562800.0000
fab_cap	lo	0.0900000000	1	1500	3	2512975.0000	1130830.0000	1420701.0000	0.0000	2512975.0000
fab_cap	hi	0.1100000000	7	1500	3	2504825.0000	1000267.5000	1318966.0000	-0.0000	2504825.0000
fab_cap	lo	0.0900000000	7	1500	3	2493175.0000	976607.5000	1352691.5000	-0.0000	2493175.0000
fab_cap	hi	0.1100000000	42	1500	3	2557300.0000	1155880.0000	1393111.5000	0.0000	2557300.0000
fab_cap	lo	0.0900000000	42	1500	3	2563400.0000	1250507.5000	1412251.5000	0.0000	2563400.0000
fab_cap	hi	0.1100000000	31337	1500	3	2716950.0000	1063825.0000	1310810.0000	0.0000	2716950.0000
fab_cap	lo	0.0900000000	31337	1500	3	2626825.0000	1140947.5000	1333797.5000	0.0000	2626825.0000
productivity_step	hi	0.2200000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
productivity_step	lo	0.1800000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
productivity_step	hi	0.2200000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
productivity_step	lo	0.1800000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
productivity_step	hi	0.2200000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
productivity_step	lo	0.1800000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
productivity_step	hi	0.2200000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
productivity_step	lo	0.1800000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
build_lead_years	hi	2.2000000000	1	1500	3	2518450.0000	1069837.5000	1380470.5000	0.0000	2518450.0000
build_lead_years	lo	1.8000000000	1	1500	3	2500225.0000	1120932.5000	1382706.0000	0.0000	2500225.0000
build_lead_years	hi	2.2000000000	7	1500	3	2519000.0000	980085.0000	1315583.0000	-0.0000	2519000.0000
build_lead_years	lo	1.8000000000	7	1500	3	2587925.0000	941242.5000	1356105.5000	-0.0000	2587925.0000
build_lead_years	hi	2.2000000000	42	1500	3	2563650.0000	1267945.0000	1367201.0000	0.0000	2563650.0000
build_lead_years	lo	1.8000000000	42	1500	3	2587725.0000	1257647.5000	1410924.5000	0.0000	2587725.0000
build_lead_years	hi	2.2000000000	31337	1500	3	2660350.0000	1047057.5000	1337452.0000	0.0000	2660350.0000
build_lead_years	lo	1.8000000000	31337	1500	3	2688425.0000	1160295.0000	1361525.0000	0.0000	2688425.0000
cycle_years	hi	55.0000000000	1	1500	3	2344195.0658	948315.9525	1231390.1391	0.0000	2344195.0658
cycle_years	lo	45.0000000000	1	1500	3	2566097.3172	1092207.9763	1392497.7484	0.0000	2566097.3172
cycle_years	hi	55.0000000000	7	1500	3	2516158.5519	901208.7763	1344921.6850	-0.0000	2516158.5519
cycle_years	lo	45.0000000000	7	1500	3	2711897.5641	1056113.9895	1396738.9720	-0.0000	2711897.5641
cycle_years	hi	55.0000000000	42	1500	3	2466060.6147	1083331.3295	1347490.5828	-0.0000	2466060.6147
cycle_years	lo	45.0000000000	42	1500	3	2719481.7671	1387903.3046	1457459.3644	0.0000	2719481.7671
cycle_years	hi	55.0000000000	31337	1500	3	2562404.6288	1011934.1378	1266363.0667	0.0000	2562404.6288
cycle_years	lo	45.0000000000	31337	1500	3	2797540.5629	1245578.9848	1392234.2922	0.0000	2797540.5629
mining_tick_years	hi	55.0000000000	1	1500	3	2487050.0000	985467.5000	1359844.5000	0.0000	2487050.0000
mining_tick_years	lo	45.0000000000	1	1500	3	2493475.0000	1012305.0000	1355959.0000	0.0000	2493475.0000
mining_tick_years	hi	55.0000000000	7	1500	3	2436000.0000	934505.0000	1358059.0000	-0.0000	2436000.0000
mining_tick_years	lo	45.0000000000	7	1500	3	2515075.0000	993307.5000	1327346.5000	-0.0000	2515075.0000
mining_tick_years	hi	55.0000000000	42	1500	3	2547900.0000	1198282.5000	1372576.5000	0.0000	2547900.0000
mining_tick_years	lo	45.0000000000	42	1500	3	2602025.0000	1265395.0000	1436754.0000	0.0000	2602025.0000
mining_tick_years	hi	55.0000000000	31337	1500	3	2675750.0000	1173697.5000	1333722.0000	0.0000	2675750.0000
mining_tick_years	lo	45.0000000000	31337	1500	3	2665475.0000	1134042.5000	1336922.0000	0.0000	2665475.0000
cargo_unit_size	hi	1.1000000000	1	1500	3	2525700.0000	1069150.0000	1399352.0000	0.0000	2525700.0000
cargo_unit_size	lo	0.9000000000	1	1500	3	1088050.0000	350947.5000	664361.5000	0.0000	1088050.0000
cargo_unit_size	hi	1.1000000000	7	1500	3	2600850.0000	953645.0000	1365791.5000	-0.0000	2600850.0000
cargo_unit_size	lo	0.9000000000	7	1500	3	1585700.0000	452645.0000	985241.0000	-0.0000	1585700.0000
cargo_unit_size	hi	1.1000000000	42	1500	3	2561325.0000	1209105.0000	1373312.0000	0.0000	2561325.0000
cargo_unit_size	lo	0.9000000000	42	1500	3	1366550.0000	571527.5000	822743.5000	-0.0000	1366550.0000
cargo_unit_size	hi	1.1000000000	31337	1500	3	2664550.0000	1180695.0000	1336653.5000	0.0000	2664550.0000
cargo_unit_size	lo	0.9000000000	31337	1500	3	1246800.0000	376837.5000	730591.0000	-0.0000	1246800.0000
medium_fleet_size	hi	11.0000000000	1	1500	3	1129150.0000	328629.5455	665251.5909	0.0000	1129150.0000
medium_fleet_size	lo	9.0000000000	1	1500	3	2517625.0000	1183747.2222	1494717.7778	0.0000	2517625.0000
medium_fleet_size	hi	11.0000000000	7	1500	3	1631325.0000	523718.1818	1028337.2273	-0.0000	1631325.0000
medium_fleet_size	lo	9.0000000000	7	1500	3	2569900.0000	1120944.4444	1479892.0556	-0.0000	2569900.0000
medium_fleet_size	hi	11.0000000000	42	1500	3	1356675.0000	491404.5455	788533.0909	-0.0000	1356675.0000
medium_fleet_size	lo	9.0000000000	42	1500	3	2643775.0000	1458125.0000	1517808.9444	0.0000	2643775.0000
medium_fleet_size	hi	11.0000000000	31337	1500	3	1339175.0000	379513.6364	728350.0909	-0.0000	1339175.0000
medium_fleet_size	lo	9.0000000000	31337	1500	3	2725525.0000	1202622.2222	1509615.7222	0.0000	2725525.0000
limited_fleet_size	hi	55.0000000000	1	1500	3	2513625.0000	1203765.0000	1348736.8182	0.0000	2513625.0000
limited_fleet_size	lo	45.0000000000	1	1500	3	2526300.0000	1074122.5000	1400571.3889	-0.0000	2526300.0000
limited_fleet_size	hi	55.0000000000	7	1500	3	2498100.0000	951505.0000	1298124.5455	-0.0000	2498100.0000
limited_fleet_size	lo	45.0000000000	7	1500	3	2483300.0000	965395.0000	1347524.4444	-0.0000	2483300.0000
limited_fleet_size	hi	55.0000000000	42	1500	3	2575275.0000	1302207.5000	1410231.8182	0.0000	2575275.0000
limited_fleet_size	lo	45.0000000000	42	1500	3	2570300.0000	1230395.0000	1463596.9444	0.0000	2570300.0000
limited_fleet_size	hi	55.0000000000	31337	1500	3	2695625.0000	1097315.0000	1296239.7727	0.0000	2695625.0000
limited_fleet_size	lo	45.0000000000	31337	1500	3	2706400.0000	970712.5000	1343435.8333	0.0000	2706400.0000
general_vehicle_cost	hi	1.1000000000	1	1500	3	2510575.0000	1186220.7500	1524133.6000	0.0000	2510575.0000
general_vehicle_cost	lo	0.9000000000	1	1500	3	1185100.0000	337722.7500	632241.0000	0.0000	1185100.0000
general_vehicle_cost	hi	1.1000000000	7	1500	3	2505775.0000	1022813.0000	1534353.7000	-0.0000	2505775.0000
general_vehicle_cost	lo	0.9000000000	7	1500	3	1633650.0000	472950.0000	972950.4000	-0.0000	1633650.0000
general_vehicle_cost	hi	1.1000000000	42	1500	3	2655900.0000	1527209.7500	1674644.9500	-0.0000	2655900.0000
general_vehicle_cost	lo	0.9000000000	42	1500	3	1357975.0000	507737.2500	754071.7500	-0.0000	1357975.0000
general_vehicle_cost	hi	1.1000000000	31337	1500	3	2731775.0000	1178834.2500	1502971.8000	0.0000	2731775.0000
general_vehicle_cost	lo	0.9000000000	31337	1500	3	1305450.0000	363078.0000	700339.0500	-0.0000	1305450.0000
civilian_accel_g	hi	1.1000000000	1	1500	3	2496125.0000	1112597.5000	1394423.0000	0.0000	2496125.0000
civilian_accel_g	lo	0.9000000000	1	1500	3	2506650.0000	1117977.5000	1403713.0000	-0.0000	2506650.0000
civilian_accel_g	hi	1.1000000000	7	1500	3	2652900.0000	1095695.0000	1354351.0000	-0.0000	2652900.0000
civilian_accel_g	lo	0.9000000000	7	1500	3	2642675.0000	942290.0000	1364899.0000	-0.0000	2642675.0000
civilian_accel_g	hi	1.1000000000	42	1500	3	2582300.0000	1187702.5000	1358507.5000	0.0000	2582300.0000
civilian_accel_g	lo	0.9000000000	42	1500	3	2574675.0000	1236177.5000	1356515.0000	0.0000	2574675.0000
civilian_accel_g	hi	1.1000000000	31337	1500	3	2668975.0000	1139022.5000	1335082.0000	0.0000	2668975.0000
civilian_accel_g	lo	0.9000000000	31337	1500	3	2649425.0000	1078342.5000	1340607.5000	0.0000	2649425.0000
trade_decay_lambda	hi	0.0110000000	1	1500	3	2498775.0000	1082565.0000	1388948.0000	0.0000	2498775.0000
trade_decay_lambda	lo	0.0090000000	1	1500	3	2498950.0000	1233000.0000	1381693.0000	0.0000	2498950.0000
trade_decay_lambda	hi	0.0110000000	7	1500	3	2628675.0000	934017.5000	1370913.5000	-0.0000	2628675.0000
trade_decay_lambda	lo	0.0090000000	7	1500	3	2626800.0000	985207.5000	1388014.5000	-0.0000	2626800.0000
trade_decay_lambda	hi	0.0110000000	42	1500	3	2576350.0000	1186502.5000	1391179.0000	0.0000	2576350.0000
trade_decay_lambda	lo	0.0090000000	42	1500	3	2574850.0000	1287637.5000	1397927.0000	0.0000	2574850.0000
trade_decay_lambda	hi	0.0110000000	31337	1500	3	2667000.0000	1068317.5000	1342225.5000	0.0000	2667000.0000
trade_decay_lambda	lo	0.0090000000	31337	1500	3	2665025.0000	1083262.5000	1349562.5000	0.0000	2665025.0000
scrap_recovery_fraction	hi	0.5500000000	1	1500	3	2500800.0000	1195220.0000	1384006.5000	0.0000	2500800.0000
scrap_recovery_fraction	lo	0.4500000000	1	1500	3	2500475.0000	1188987.5000	1382670.0000	0.0000	2500475.0000
scrap_recovery_fraction	hi	0.5500000000	7	1500	3	2628525.0000	916807.5000	1395391.0000	-0.0000	2628525.0000
scrap_recovery_fraction	lo	0.4500000000	7	1500	3	2628725.0000	945650.0000	1395505.0000	-0.0000	2628725.0000
scrap_recovery_fraction	hi	0.5500000000	42	1500	3	2576950.0000	1205227.5000	1401890.0000	0.0000	2576950.0000
scrap_recovery_fraction	lo	0.4500000000	42	1500	3	2575850.0000	1248970.0000	1400834.0000	0.0000	2575850.0000
scrap_recovery_fraction	hi	0.5500000000	31337	1500	3	2664975.0000	1082732.5000	1343954.0000	0.0000	2664975.0000
scrap_recovery_fraction	lo	0.4500000000	31337	1500	3	2665600.0000	1076302.5000	1340617.0000	0.0000	2665600.0000
homeworld_start_minerals	hi	3.3000000000	1	1500	3	2514500.0000	1151880.0000	1375041.0000	0.0000	2514500.0000
homeworld_start_minerals	lo	2.7000000000	1	1500	3	2510075.0000	1189022.5000	1349293.5000	0.0000	2510075.0000
homeworld_start_minerals	hi	3.3000000000	7	1500	3	2487000.0000	968425.0000	1321643.0000	-0.0000	2487000.0000
homeworld_start_minerals	lo	2.7000000000	7	1500	3	2465425.0000	910327.5000	1314012.5000	-0.0000	2465425.0000
homeworld_start_minerals	hi	3.3000000000	42	1500	3	2626025.0000	1314740.0000	1394015.0000	0.0000	2626025.0000
homeworld_start_minerals	lo	2.7000000000	42	1500	3	2522050.0000	1203262.5000	1392505.0000	0.0000	2522050.0000
homeworld_start_minerals	hi	3.3000000000	31337	1500	3	2718075.0000	982277.5000	1329590.0000	0.0000	2718075.0000
homeworld_start_minerals	lo	2.7000000000	31337	1500	3	2676450.0000	1001300.0000	1325454.5000	0.0000	2676450.0000
reinvest_bias	hi	0.5500000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
reinvest_bias	lo	0.4500000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
reinvest_bias	hi	0.5500000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
reinvest_bias	lo	0.4500000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
reinvest_bias	hi	0.5500000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
reinvest_bias	lo	0.4500000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
reinvest_bias	hi	0.5500000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
reinvest_bias	lo	0.4500000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
risk_aversion	hi	0.0000000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
risk_aversion	lo	0.0000000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
risk_aversion	hi	0.0000000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
risk_aversion	lo	0.0000000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
risk_aversion	hi	0.0000000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
risk_aversion	lo	0.0000000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
risk_aversion	hi	0.0000000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
risk_aversion	lo	0.0000000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
rank.w_k	hi	1.1000000000	1	1500	3	2447625.0000	1023377.5000	1324846.5000	0.0000	2447625.0000
rank.w_k	lo	0.9000000000	1	1500	3	2475600.0000	1054350.0000	1372894.5000	0.0000	2475600.0000
rank.w_k	hi	1.1000000000	7	1500	3	2617375.0000	965282.5000	1350047.0000	-0.0000	2617375.0000
rank.w_k	lo	0.9000000000	7	1500	3	2629725.0000	917197.5000	1366991.0000	-0.0000	2629725.0000
rank.w_k	hi	1.1000000000	42	1500	3	2597125.0000	1318325.0000	1423692.0000	0.0000	2597125.0000
rank.w_k	lo	0.9000000000	42	1500	3	2588325.0000	1117910.0000	1382706.0000	0.0000	2588325.0000
rank.w_k	hi	1.1000000000	31337	1500	3	2687925.0000	1032125.0000	1343157.0000	0.0000	2687925.0000
rank.w_k	lo	0.9000000000	31337	1500	3	2643125.0000	1062247.5000	1329359.5000	0.0000	2643125.0000
rank.w_mineral	hi	0.8800000000	1	1500	3	2481900.0000	1189212.5000	1367877.0000	0.0000	2481900.0000
rank.w_mineral	lo	0.7200000000	1	1500	3	2464900.0000	1008427.5000	1337832.0000	0.0000	2464900.0000
rank.w_mineral	hi	0.8800000000	7	1500	3	2588825.0000	1110797.5000	1341711.0000	-0.0000	2588825.0000
rank.w_mineral	lo	0.7200000000	7	1500	3	2612125.0000	967740.0000	1378008.0000	-0.0000	2612125.0000
rank.w_mineral	hi	0.8800000000	42	1500	3	2632175.0000	1253092.5000	1411276.5000	-0.0000	2632175.0000
rank.w_mineral	lo	0.7200000000	42	1500	3	2566375.0000	1265372.5000	1390630.0000	0.0000	2566375.0000
rank.w_mineral	hi	0.8800000000	31337	1500	3	2653850.0000	1077070.0000	1366488.0000	0.0000	2653850.0000
rank.w_mineral	lo	0.7200000000	31337	1500	3	2681300.0000	1113662.5000	1352338.5000	0.0000	2681300.0000
rank.w_hub	hi	1.3200000000	1	1500	3	2452425.0000	1070585.0000	1326045.0000	0.0000	2452425.0000
rank.w_hub	lo	1.0800000000	1	1500	3	2474800.0000	1076592.5000	1379628.5000	0.0000	2474800.0000
rank.w_hub	hi	1.3200000000	7	1500	3	2613300.0000	958967.5000	1351639.0000	-0.0000	2613300.0000
rank.w_hub	lo	1.0800000000	7	1500	3	2632925.0000	987672.5000	1351101.5000	-0.0000	2632925.0000
rank.w_hub	hi	1.3200000000	42	1500	3	2577050.0000	1162675.0000	1392693.0000	0.0000	2577050.0000
rank.w_hub	lo	1.0800000000	42	1500	3	2584700.0000	1208682.5000	1408191.5000	0.0000	2584700.0000
rank.w_hub	hi	1.3200000000	31337	1500	3	2686350.0000	1053767.5000	1347173.0000	0.0000	2686350.0000
rank.w_hub	lo	1.0800000000	31337	1500	3	2663500.0000	1064232.5000	1327167.5000	0.0000	2663500.0000
rank.mineral_high	hi	2.2000000000	1	1500	3	2499225.0000	1101505.0000	1363255.5000	0.0000	2499225.0000
rank.mineral_high	lo	1.8000000000	1	1500	3	2495450.0000	1106542.5000	1382616.5000	0.0000	2495450.0000
rank.mineral_high	hi	2.2000000000	7	1500	3	2629900.0000	975970.0000	1373664.5000	-0.0000	2629900.0000
rank.mineral_high	lo	1.8000000000	7	1500	3	2624475.0000	874005.0000	1401538.5000	-0.0000	2624475.0000
rank.mineral_high	hi	2.2000000000	42	1500	3	2576750.0000	1135345.0000	1392204.5000	0.0000	2576750.0000
rank.mineral_high	lo	1.8000000000	42	1500	3	2578000.0000	1155405.0000	1410467.0000	0.0000	2578000.0000
rank.mineral_high	hi	2.2000000000	31337	1500	3	2669850.0000	1024710.0000	1336177.5000	0.0000	2669850.0000
rank.mineral_high	lo	1.8000000000	31337	1500	3	2665275.0000	1051637.5000	1347436.0000	0.0000	2665275.0000
rank.centrality_scale	hi	165.0000000000	1	1500	3	2433150.0000	1050360.0000	1336586.0000	0.0000	2433150.0000
rank.centrality_scale	lo	135.0000000000	1	1500	3	2489575.0000	1120197.5000	1375530.5000	0.0000	2489575.0000
rank.centrality_scale	hi	165.0000000000	7	1500	3	2618325.0000	977662.5000	1359103.5000	-0.0000	2618325.0000
rank.centrality_scale	lo	135.0000000000	7	1500	3	2609675.0000	972017.5000	1356691.5000	-0.0000	2609675.0000
rank.centrality_scale	hi	165.0000000000	42	1500	3	2573475.0000	1284750.0000	1391001.5000	0.0000	2573475.0000
rank.centrality_scale	lo	135.0000000000	42	1500	3	2575400.0000	1199665.0000	1385466.5000	0.0000	2575400.0000
rank.centrality_scale	hi	165.0000000000	31337	1500	3	2687725.0000	1075847.5000	1349633.0000	0.0000	2687725.0000
rank.centrality_scale	lo	135.0000000000	31337	1500	3	2668875.0000	1139795.0000	1362376.0000	0.0000	2668875.0000
rank.mineral_pressure_gain	hi	1.1000000000	1	1500	3	2484050.0000	1159600.0000	1384532.0000	0.0000	2484050.0000
rank.mineral_pressure_gain	lo	0.9000000000	1	1500	3	2461975.0000	1018185.0000	1305540.5000	0.0000	2461975.0000
rank.mineral_pressure_gain	hi	1.1000000000	7	1500	3	2628250.0000	915815.0000	1379760.5000	-0.0000	2628250.0000
rank.mineral_pressure_gain	lo	0.9000000000	7	1500	3	2608750.0000	961680.0000	1354957.5000	-0.0000	2608750.0000
rank.mineral_pressure_gain	hi	1.1000000000	42	1500	3	2589350.0000	1239470.0000	1408306.0000	0.0000	2589350.0000
rank.mineral_pressure_gain	lo	0.9000000000	42	1500	3	2577650.0000	1241032.5000	1418912.0000	0.0000	2577650.0000
rank.mineral_pressure_gain	hi	1.1000000000	31337	1500	3	2646325.0000	1065562.5000	1333984.5000	0.0000	2646325.0000
rank.mineral_pressure_gain	lo	0.9000000000	31337	1500	3	2684575.0000	1065395.0000	1332816.5000	0.0000	2684575.0000
survey_accel_g	hi	1.1000000000	1	1500	3	2528050.0000	1057780.0000	1399100.5000	0.0000	2528050.0000
survey_accel_g	lo	0.9000000000	1	1500	3	2510800.0000	1106482.5000	1361933.0000	0.0000	2510800.0000
survey_accel_g	hi	1.1000000000	7	1500	3	2621000.0000	962352.5000	1349295.5000	-0.0000	2621000.0000
survey_accel_g	lo	0.9000000000	7	1500	3	2498275.0000	878802.5000	1342815.5000	-0.0000	2498275.0000
survey_accel_g	hi	1.1000000000	42	1500	3	2590250.0000	1243915.0000	1396114.5000	0.0000	2590250.0000
survey_accel_g	lo	0.9000000000	42	1500	3	2544275.0000	1121402.5000	1396598.0000	0.0000	2544275.0000
survey_accel_g	hi	1.1000000000	31337	1500	3	2672900.0000	1021025.0000	1367236.0000	0.0000	2672900.0000
survey_accel_g	lo	0.9000000000	31337	1500	3	2690025.0000	1022832.5000	1339028.5000	0.0000	2690025.0000
survey_vehicles	hi	6.6000000000	1	1500	3	2517700.0000	999742.5000	1356623.0000	-0.0000	2517700.0000
